   -3.98189999e-02    2.55944106e-02    7.78885980e-04    2.25893804e-01   -3.68300147e-03 
    7.20179166e-02    5.73730031e-04    2.59721171e-01   -4.44912569e-03   -3.52713853e-02 
   -1.12226220e-02   -3.98507849e-02   -1.49876240e-02   -4.00740781e-02   -1.50341708e-02 
    4.14736196e-04   -3.17583168e-03   -1.04243079e-03    7.63139271e-02   -1.29589198e-03 
    4.32598799e-02    4.79278867e-03   -3.42628264e-01    5.81557614e-03    2.87634170e-02 
    4.41370821e-03   -2.65337228e-01    4.49887630e-03 
    2.55944106e-02    2.85108521e-01   -4.15594124e-03    1.53912052e-01   -1.80188771e-03 
   -1.17289238e-01   -3.70944061e-03    4.07798074e-02    2.15269148e-03    1.42865213e-02 
   -6.87643017e-03    1.83027179e-02   -2.21266855e-03    2.06332052e-02   -1.20459566e-05 
    2.34652652e-02   -1.86556410e-02   -1.52596233e-05   -1.37498932e-02    7.97823535e-05 
    3.88125183e-03   -2.36412615e-03    1.68686777e-01   -3.49223899e-03    1.35658880e-01 
    7.75418944e-04   -2.78719912e-02    1.41218788e-03 
    7.78885980e-04   -4.15594124e-03    2.56228894e-02    3.23380687e-03    1.30680347e-03 
   -3.93713936e-03   -1.37123588e-01    4.10004329e-03    1.63820865e-03   -8.17748182e-02 
   -1.06997468e-01    3.70835921e-02    4.54901142e-02    3.48637238e-02    4.99536622e-02 
   -5.59494800e-05    5.93865491e-05   -2.53695555e-02   -1.96665017e-04    4.41863470e-05 
    1.25851458e-03    2.14393503e-02   -1.16888736e-02   -2.78471926e-04    6.28241230e-05 
   -1.96566464e-02   -3.56792403e-03    8.28540631e-04 
    2.25893804e-01    1.53912052e-01    3.23380687e-03    1.86696743e-01    2.01585960e-03 
   -1.98015886e-02    7.87215287e-03   -3.48598990e-01    1.28484978e-02    4.96455026e-02 
    7.48280902e-02    4.65120586e-02    7.56268531e-02    5.87580772e-02    8.92542365e-02 
    5.59275654e-04    1.89092880e-03   -4.35165419e-04   -2.12136989e-02   -3.73472729e-04 
   -1.71955514e-01   -1.65023444e-02    1.05020958e+00   -1.94525293e-02    4.04658738e-02 
    1.99127169e-03    4.31563916e-01   -6.19048101e-03 
   -3.68300147e-03   -1.80188771e-03    1.30680347e-03    2.01585960e-03    1.88867311e-02 
